feature,mean_abs_shap
C13,0.22670474719958134
V70,0.16761507180317997
C14,0.1598147828223967
card6,0.12837380686386654
TransactionAmt,0.12729594918195308
card_txn_count,0.11672079781448864
C1,0.10962216971814323
R_emaildomain,0.10453145729582543
D1,0.10211987095286175
P_emaildomain,0.10172535257294284
card_time_since_first,0.10067354409037284
V294,0.1006467270104541
M4,0.09866012690631303
C11,0.09602278466712569
card_amt_std,0.09465393027204518
M6,0.08916624122558492
card2_freq,0.08801465367504725
card_unique_email,0.07831893094197855
card_unique_addr,0.07677357499224517
D15,0.07641281225675113
D2,0.07406603277610033
D4,0.07213126277672503
V258,0.07023351329096923
V91,0.06736824034993479
C2,0.06396983893241713
dist1,0.06322269007050933
uid_amt_mean,0.06142774195049674
addr1,0.05993610847326007
M5,0.05798436434463762
C5,0.05558519773191982
C6,0.04666941834296571
D10,0.046263858489755935
D3,0.0450191430495581
M3,0.04318477074799645
card5_freq,0.0429629125848101
amt_to_uid_mean,0.03850077427452062
hour,0.036778106782982455
V312,0.03651508216621733
V90,0.0362134795277224
D8,0.03518171300391978
D11,0.034993610535738656
V308,0.03354128747071798
D5,0.03203086624621483
amt_to_card_mean_ratio,0.029309975797649747
card3_freq,0.028715637120447543
uid_amt_std,0.028584248421918135
amt_z_score_card,0.02662271506499527
amt_log,0.02615908125903746
uid_txn_count,0.026116784756425652
C9,0.02426891371268194
C8,0.02342505894789214
id_02,0.022695548063554324
V310,0.022668750196669654
D6,0.02120830854202727
ProductCD,0.020403960322736916
V309,0.01990748942511891
card_age,0.019107452991340437
V285,0.018069961309141007
id_06,0.01731049090260233
card1_freq,0.016430083643171594
id_20,0.016383903014691323
V281,0.016214334101619703
V37,0.016083203246944913
D13,0.016073917999361705
id_17,0.015441027233877741
V11,0.015237204423857221
V317,0.015211467676855892
M9,0.014903375305956467
V38,0.014633162344904147
V82,0.01437137190663251
V131,0.013936579332619329
V54,0.013568244387328787
V45,0.013504287154935747
V30,0.013484712670990603
V165,0.013445467450694082
V29,0.013050822386641696
screen_height,0.012814060550248316
browser_ie,0.012771185390136858
V163,0.012536238380709894
V67,0.012445671876293234
M7,0.012072777386364506
V62,0.012045039211567467
